Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural
14.0,Male,3.99,Smartphone,True,0.42,"Poor Sleep, Eye Strain",Urban
11.0,Female,4.61,Laptop,True,0.3,Poor Sleep,Urban
18.0,Female,3.73,TV,True,0.32,Poor Sleep,Urban
15.0,Female,1.21,Laptop,,0.39,None,Urban
12.0,Female,5.89,Smartphone,True,0.49,"Poor Sleep, Anxiety",Urban
14.0,Female,4.88,Smartphone,True,0.44,Poor Sleep,Urban
17.0,Male,2.97,TV,False,0.48,None,Rural
10.0,Male,2.74,TV,True,0.54,None,Urban
14.0,Male,4.61,Laptop,True,0.36,"Poor Sleep, Anxiety",
18.0,Male,3.24,Tablet,True,0.48,"Poor Sleep, Obesity Risk",Urban
18.0,Male,3.53,Tablet,True,0.44,,
15.0,,,TV,,0.36,Poor Sleep,Rural
12.0,Male,4.59,Smartphone,True,0.43,Poor Sleep,Urban
11.0,Male,6.08,TV,True,0.48,,Rural
15.0,Male,6.15,,True,0.4,Poor Sleep,Urban
15.0,Female,3.69,Smartphone,True,0.34,Poor Sleep,Urban
10.0,Female,7.1,Smartphone,True,0.43,"Poor Sleep, Eye Strain",Rural
,Female,6.98,Smartphone,True,0.48,Obesity Risk,Urban
12.0,,3.82,Smartphone,,0.4,Anxiety,
9.0,Female,,TV,False,0.42,None,Urban
15.0,Male,3.85,Smartphone,True,0.49,Obesity Risk,Urban
13.0,Female,4.05,Smartphone,True,0.33,,Urban
9.0,Female,1.63,Tablet,False,0.58,None,
12.0,Female,6.78,TV,True,0.33,Eye Strain,Urban
8.0,Male,3.19,Tablet,True,0.54,"Poor Sleep, Anxiety, Obesity Risk",Urban
17.0,Male,4.96,Smartphone,True,0.32,None,Urban
13.0,Female,1.85,Smartphone,False,0.49,None,Urban
16.0,Male,4.22,Smartphone,True,0.5,Poor Sleep,Urban
8.0,Male,0.31,,False,0.51,None,Urban
18.0,Male,5.13,TV,True,0.43,"Poor Sleep, Obesity Risk",
18.0,Male,4.45,Smartphone,True,0.48,Eye Strain,Urban
17.0,Female,3.02,Smartphone,True,0.39,None,Rural
10.0,Male,2.16,Tablet,True,0.41,None,Urban
14.0,Male,4.28,Smartphone,True,0.34,Eye Strain,Rural
11.0,Female,5.34,Smartphone,True,,,Urban
16.0,Female,3.5,Laptop,True,0.4,"Eye Strain, Obesity Risk",Rural
10.0,Male,11.68,TV,True,0.47,Poor Sleep,Urban
12.0,Female,,Smartphone,False,0.5,None,Urban
10.0,Male,4.63,Smartphone,True,0.47,Poor Sleep,Urban
14.0,Male,4.21,TV,True,0.38,Poor Sleep,Urban
12.0,Male,4.56,Smartphone,True,0.5,"Poor Sleep, Eye Strain",Urban
16.0,Female,3.51,TV,,0.44,"Poor Sleep, Anxiety",Urban
,Female,4.69,Smartphone,True,0.35,"Poor Sleep, Eye Strain",Urban
9.0,,7.61,TV,True,,Poor Sleep,Urban
,Male,2.75,Smartphone,False,0.35,None,Rural
16.0,,6.74,,True,0.42,"Eye Strain, Anxiety, Obesity Risk",Urban
9.0,Female,0.0,Smartphone,False,0.47,None,Urban
,Male,2.34,Smartphone,False,0.48,None,Rural
16.0,Male,2.85,Smartphone,False,0.3,None,Rural
17.0,Male,4.29,Laptop,True,0.39,"Poor Sleep, Eye Strain",Rural
,Male,6.03,TV,True,,"Poor Sleep, Anxiety",Urban
9.0,Female,1.06,Smartphone,False,,None,Urban
11.0,Male,2.83,Smartphone,False,0.4,None,
14.0,Male,3.92,Smartphone,True,0.47,None,Urban
15.0,Male,4.55,Smartphone,True,0.39,"Poor Sleep, Anxiety",Urban
10.0,Female,6.86,Smartphone,True,0.56,Poor Sleep,Rural
8.0,Male,3.47,TV,True,0.41,,Rural
11.0,,4.61,Tablet,True,0.46,Poor Sleep,
9.0,Male,0.0,Smartphone,False,0.59,None,Rural
15.0,Male,3.47,,True,0.41,None,Rural
11.0,Male,4.31,TV,True,0.42,Poor Sleep,Urban
9.0,Male,2.3,Smartphone,True,0.45,None,Urban
13.0,Male,4.5,Laptop,,0.38,None,Urban
13.0,Female,2.65,Laptop,False,,None,Rural
17.0,Male,5.34,,,0.43,None,Urban
11.0,Male,3.87,TV,,0.43,"Poor Sleep, Obesity Risk",
13.0,Male,5.67,Tablet,True,0.41,"Poor Sleep, Anxiety",Urban
,Female,3.8,TV,,0.53,"Poor Sleep, Eye Strain",Rural
17.0,Male,4.61,TV,True,0.34,"Poor Sleep, Obesity Risk",Rural
9.0,Male,0.9,Tablet,False,0.6,None,
17.0,Female,3.3,TV,True,0.42,None,Urban
11.0,Male,5.12,TV,True,0.31,Poor Sleep,Urban
15.0,,5.82,TV,True,,Poor Sleep,Urban
14.0,,4.27,Smartphone,True,0.47,"Poor Sleep, Eye Strain",Rural
16.0,Male,5.79,Smartphone,True,,,Urban
,Female,2.69,TV,False,,None,
12.0,Female,3.64,Smartphone,True,0.44,Poor Sleep,Urban
9.0,Male,,TV,True,0.46,None,Urban
12.0,,6.15,Laptop,True,0.41,Poor Sleep,Urban
,Female,5.72,Tablet,True,0.33,,Urban
17.0,Male,3.41,Laptop,True,0.31,None,
16.0,Male,4.45,Laptop,True,0.48,"Poor Sleep, Eye Strain",Urban
16.0,Male,2.9,,False,0.31,None,Urban
8.0,Female,7.54,Smartphone,True,0.46,,Urban
16.0,Male,4.34,Tablet,True,0.48,"Poor Sleep, Anxiety",
14.0,Female,5.43,Smartphone,True,0.49,None,Urban
16.0,Female,4.78,Tablet,True,0.33,,Rural
